Year,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
2010,36,580.584819308,259.008666958,429.525784036,1467.94215862,87.4329038526,1301.3763335,87.4329038526,191.14634665,87.4329038526,170.903340673,34,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,41,332.985274657,374.916369861,943.471126006,498.337899901,48.6638957509,1337.10742783,48.6638957509,910.824817347,48.6638957509,1000.15223596
2013,42,462.688927496,72.9469952423,827.644446788,1397.56523694,68.1641700903,1375.42716103,68.1641700903,235.279941226,68.1641700903,382.403640733,0,,,,,,,,,,,48,120.771926887,193.820740276,969.831068983,1294.0048569,26.5277654651,822.978480068,26.5277654651,1316.80695188,26.5277654651,864.961062145
2012,35,363.768758374,145.833662174,627.745211122,726.064421536,39.9100422605,1121.83583948,39.9100422605,178.586199839,39.9100422605,139.141783268,0,,,,,,,,,,,48,327.760705024,287.177108373,932.765276985,932.773890732,31.485093572,1451.67387596,31.485093572,771.244861911,31.485093572,758.511550493
1994,0,,,,,,,,,,,0,,,,,,,,,,,39,1206.85255253,656.239135454,483.254588678,123.238825221,38.9860085564,220.053824275,38.9860085564,494.582081604,38.9860085564,573.643452664
1991,0,,,,,,,,,,,0,,,,,,,,,,,31,1170.75597577,424.386786851,147.070148838,64.193388988,22.915477733,166.090407213,22.915477733,806.357472765,22.915477733,551.023361305
1990,0,,,,,,,,,,,0,,,,,,,,,,,31,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
1993,0,,,,,,,,,,,0,,,,,,,,,,,43,728.725514982,421.099691564,211.77028929,126.720576078,40.3198078431,234.822797011,40.3198078431,368.026239995,40.3198078431,904.350905343
1992,0,,,,,,,,,,,0,,,,,,,,,,,31,832.146866092,528.673952493,460.577374438,248.643932383,80.55196861,178.274681865,80.55196861,716.913821441,80.55196861,526.189053288
1995,0,,,,,,,,,,,0,,,,,,,,,,,35,940.063801575,521.226699547,589.862504038,188.062437816,11.4339624225,226.430846628,11.4339624225,648.065086758,11.4339624225,997.149881804
1977,0,,,,,,,,,,,0,,,,,,,,,,,25,89.9239490698,7.23535067462,240.956019189,2.23873941448,143.299321081,1.2451951723,143.299321081,1285.54594393,143.299321081,1041.54855617
1997,42,850.268921889,376.003332085,362.771330417,210.981080591,84.6250237384,214.498947605,84.6250237384,101.201678275,84.6250237384,292.324688119,0,,,,,,,,,,,37,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
1996,25,1429.29988374,457.04103249,1051.75017219,290.956418634,25.3612190202,263.490041132,25.3612190202,156.63093688,25.3612190202,183.339574736,0,,,,,,,,,,,34,1275.37240418,525.967569271,589.099979173,171.50149055,20.5758908986,273.375614026,20.5758908986,402.647418563,20.5758908986,801.164274282
1999,28,0.0591716869321,112.058582942,40.0516603908,1.74584314872,0.0591716871571,0.0591716871929,0.0591716871571,0.0591716868571,0.0591716871571,0.0591716870143,0,,,,,,,,,,,25,1204.71361632,792.338871795,232.906911761,170.553330864,74.1875013697,685.762426959,74.1875013697,415.407910577,74.1875013697,680.986144477
1998,46,957.318016987,483.21269172,246.020337295,297.039112896,87.7822119122,325.966196066,87.7822119122,96.0063376447,87.7822119122,55.6171711264,0,,,,,,,,,,,32,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
1975,0,,,,,,,,,,,0,,,,,,,,,,,23,45.5241018811,27.174208921,313.035000384,1.8415551328,225.680524912,25.7325575178,225.680524912,610.414106891,225.680524912,409.002524443
1978,0,,,,,,,,,,,0,,,,,,,,,,,27,119.532122895,42.8766334878,196.03512556,3.47743236226,237.03127438,137.759043911,237.03127438,899.229901374,237.03127438,1018.29133784
1973,0,,,,,,,,,,,0,,,,,,,,,,,22,72.2827111321,53.7394700396,45.9600013645,7.61701192202,355.321450362,53.4922105526,355.321450362,497.757382987,355.321450362,506.960395958
2002,27,902.062427043,231.66647442,524.267375132,772.318836581,67.0644039094,1404.0585214,67.0644039094,38.3423360535,67.0644039094,132.793645617,0,,,,,,,,,,,30,476.720358386,260.116253483,529.66716269,163.148621877,8.02223437224,741.182218663,8.02223437224,244.896110154,8.02223437224,633.26095516
2003,27,711.141258722,397.47487454,212.595423198,428.791193562,120.094519024,1879.28505803,120.094519024,229.236312519,120.094519024,256.006261439,0,,,,,,,,,,,25,452.163687586,508.689657555,874.32890261,195.579542609,1.96719515004,1033.99083814,1.96719515004,164.243335399,1.96719515004,1091.69416751
2000,27,217.673996416,70.91282772,44.4133859941,131.858235637,273.890249759,411.803596224,273.890249759,50.5086278647,273.890249759,2.1577051372,0,,,,,,,,,,,31,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862,0.0591716862
2001,24,874.370243312,317.699800016,394.071369714,538.699134582,148.234040852,1046.45992798,148.234040852,0.402315699612,148.234040852,325.02013634,0,,,,,,,,,,,26,113.025184105,801.753351626,341.256960239,57.5873486639,98.6444018026,762.476971731,98.6444018026,460.967725951,98.6444018026,535.552507599
2006,27,789.405577764,1046.03994513,868.237528871,650.909465152,40.4813418421,1542.94690189,40.4813418421,196.288359076,40.4813418421,53.69028382,0,,,,,,,,,,,36,465.401729294,284.217460016,1158.91063821,420.907485099,25.7373293079,1673.80186483,25.7373293079,583.452966103,25.7373293079,698.854252052
2007,34,824.585937769,682.71087332,642.73981045,1133.78070419,72.9266363825,570.727949451,72.9266363825,44.9126797763,72.9266363825,155.147970401,0,,,,,,,,,,,39,441.995538388,509.266859342,504.776026828,317.867606901,46.4328444929,744.8475927,46.4328444929,680.397038171,46.4328444929,867.527136437
2004,25,1029.5255246,186.4197096,599.352482266,249.893452059,120.17401643,1375.3666003,120.17401643,251.888796979,120.17401643,90.6231017682,0,,,,,,,,,,,29,532.295661345,803.200880292,577.67080618,364.709581453,27.1268869567,899.712701606,27.1268869567,836.921320856,27.1268869567,841.355276674
2005,29,428.998927048,746.574813681,800.835458689,613.880349428,6.64995115386,2080.31603949,6.64995115386,187.656609125,6.64995115386,196.72449353,0,,,,,,,,,,,31,140.607379669,628.460341453,673.342696628,518.977022476,0.0591717063548,1334.02593643,0.0591717063548,637.927194202,0.0591717063548,1147.04137282
2008,52,391.752588125,361.502461191,440.684023018,671.46587359,58.7553845138,1083.7031161,58.7553845138,34.2212702887,58.7553845138,304.284692546,0,,,,,,,,,,,38,409.476466613,545.390390489,727.223928756,581.166733593,22.6726486033,1113.52708243,22.6726486033,470.38036708,22.6726486033,1015.3824863
2009,40,291.614461862,418.736320985,859.913336216,1013.92471885,105.564593009,877.610996634,105.564593009,53.242138057,105.564593009,59.8559652265,0,,,,,,,,,,,39,354.865023061,128.594230263,1384.43676594,530.686086328,17.5210117033,810.413768914,17.5210117033,942.157361648,17.5210117033,1110.1831379
