Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,PLDI Topic 20,PLDI Topic 21,PLDI Topic 22,PLDI Topic 23,PLDI Topic 24,PLDI Topic 25,PLDI Topic 26,PLDI Topic 27,PLDI Topic 28,PLDI Topic 29,PLDI Topic 30,PLDI Topic 31,PLDI Topic 32,PLDI Topic 33,PLDI Topic 34,PLDI Topic 35,PLDI Topic 36,PLDI Topic 37,PLDI Topic 38,PLDI Topic 39,PLDI Topic 40,PLDI Topic 41,PLDI Topic 42,PLDI Topic 43,PLDI Topic 44,PLDI Topic 45,PLDI Topic 46,PLDI Topic 47,PLDI Topic 48,PLDI Topic 49,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19,POPL Topic 20,POPL Topic 21,POPL Topic 22,POPL Topic 23,POPL Topic 24,POPL Topic 25,POPL Topic 26,POPL Topic 27,POPL Topic 28,POPL Topic 29,POPL Topic 30,POPL Topic 31,POPL Topic 32,POPL Topic 33,POPL Topic 34,POPL Topic 35,POPL Topic 36,POPL Topic 37,POPL Topic 38,POPL Topic 39,POPL Topic 40,POPL Topic 41,POPL Topic 42,POPL Topic 43,POPL Topic 44,POPL Topic 45,POPL Topic 46,POPL Topic 47,POPL Topic 48,POPL Topic 49
1988,32,102.855162271,38.4095596207,0.0227759387,142.194447353,219.71337606,2.30855142612,13.5154444321,95.5129591103,2.30855142612,76.2568052455,1.80218318278,35.363597491,9.38007614704,37.0267137815,94.7238896116,0.0227759387,1.17247602169,102.855162271,0.545960324003,9.28163018343,62.2616186455,0.0227759387,17.1324763511,65.8423861729,37.9254744655,21.4307965622,32.32047572,29.6627636224,0.0227759387,1.17261743928,0.0227759387,191.686104074,56.6845958152,245.95493408,164.96598425,40.8424549155,149.74687889,152.755780186,113.193731356,191.008993605,58.3563408923,11.4186263829,124.002195331,0.0227759387,7.65141100793,3.82816277522,173.460125827,29.345374487,0.0227759387,269.477516551,27,8.45797075872,22.0212383899,0.0227759387,91.4782125031,196.923113716,81.295826212,101.165477513,183.388353097,81.295826212,3.19700607776,32.2821391614,0.0227759387,89.2442788485,131.996437809,12.1550470134,16.2748461655,0.0227759387,8.45797075872,274.378732249,6.82603069745,13.5562479507,32.9768414009,1.20285500174,39.1840729108,347.886383931,16.878620963,141.60982977,40.2365970663,85.9730204276,18.8303469458,43.8714736386,86.599727939,147.613186638,139.074383668,7.69482615344,0.0227759387,52.6012109941,165.055269636,13.6011810384,5.80129114864,5.31855984178,3.84747174544,23.1547645974,43.8714736386,1.95788081676,42.3170040311,0.935201497667,3.74496083939,61.6057154651,414.023601118
1989,30,29.3388266195,11.1681014689,0.0227759387,136.791883286,45.6401983516,4.91678425866,16.552322807,0.0227759387,4.91678425866,34.2445673811,9.18502965571,8.54219163943,24.9067786434,49.8451151099,34.9661986142,0.0227759387,0.0227759387,29.3388266195,106.108702303,22.476809643,209.337436311,0.0227759387,21.4326921023,20.8735114869,254.75177113,50.2545003837,62.8436565918,12.7633428585,0.0227759387,0.4411077563,0.0227759387,269.116869903,107.495837405,111.442547831,169.138294651,1.1250913867,144.636762684,226.480633028,1.7567588998,59.4311443721,10.1280527132,0.0227759387,382.869737238,0.0227759387,18.8063121619,158.430369765,270.474165906,86.9733882154,0.0227759387,300.767932108,28,0.0227759387,13.47446729,0.0227759387,43.6121359062,19.2694144552,74.0757641057,25.2100418215,575.683115054,74.0757641057,0.777946413564,88.2367347204,0.841572780896,149.267204879,236.561384733,66.4415361673,4.73920138566,0.0227759387,0.0227759387,265.790166243,0.0227759387,0.0227759387,0.0227759387,1.72655791516,36.4557197792,131.700520526,4.61877534213,147.803532116,6.57549434084,118.782863459,0.0227759387,115.906055759,36.3455723494,96.0862946672,142.245632845,2.38560564749,0.0227759387,46.3446945344,195.511524312,0.0227759387,18.7375524743,5.94412230919,219.487450507,7.523355837,115.906055759,15.6043946937,39.3209783514,13.6955166126,2.72277568784,52.2296374569,228.872475635
2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,16.8699176441,154.521202401,183.563766861,58.1786504274,3.02963536538,111.113232993,61.4298225001,3.47539933838,111.113232993,29.5187204805,25.8071242598,41.0046340487,290.634508628,276.756753959,63.5406998278,284.610551473,26.2492457026,16.8699176441,258.882980049,352.758736196,18.0111617918,324.579079609,377.221218327,78.8191598087,19.0003154609,179.41514298,5.11622419446,28.7510350512,71.2465002699,12.8650032405,274.481746622,0.0227759387,125.44470916,0.0227759387,2.03857302969,65.9499010921,82.0214750499,2.43093675949,120.945667544,111.881415221,22.3941663702,106.527096742,26.264854897,274.481746622,415.415332419,173.962712109,0.81349295185,38.297764272,12.7908997408,172.552736485
2014,58,88.8249498804,60.9100065039,155.439938041,11.5260494039,14.6107614452,2.84987411153,153.476064498,1.13497366886,2.84987411153,513.321129605,70.4720924432,206.468417046,53.0782307576,130.886327846,32.4773587361,251.364466754,0.0227759387,88.8249498804,41.9440301567,181.946954492,288.530548707,3.26761802789,55.9931272031,59.2839933887,18.191798566,230.958512147,2.98614016199,244.747920334,48.4388614359,16.6518580358,9.90868154703,162.530569574,0.0227759387,2.18001180624,5.87164995068,178.659861026,159.519849791,7.10794505545,66.9739837357,134.825660565,72.452272349,59.238078375,15.8117173679,9.90868154703,578.863514625,195.0969128,7.85150645364,138.39715962,0.0890683495,70.3320517503,54,48.1948338341,254.705620815,157.045082613,37.626097441,5.55781246057,57.3203869099,242.537759101,118.714577356,57.3203869099,6.53258018511,182.865331816,40.2084552358,300.876103816,222.340612553,16.7022864902,389.036698142,0.0593960209259,48.1948338341,118.863376209,93.3673136121,21.4169867182,261.839425815,249.00739527,57.5922523467,29.840129289,232.04448689,15.139735402,185.68179775,41.5528019115,13.1642064179,425.073827105,25.0496729917,43.7776459996,1.78566966145,1.61220803257,143.740248874,52.0533658893,0.848730509035,113.870155295,56.2732877794,79.1251185745,78.1751337202,14.6120739441,425.073827105,321.817721191,72.2484561658,0.0955715281,40.3059185548,3.36182134142,50.5377276569
2011,54,50.6995015212,60.6972797853,164.872933869,18.9776225807,112.701053544,0.64162678865,14.7642434695,36.1159701741,0.64162678865,276.117593551,149.604577866,98.6835413339,42.8630683837,244.050910475,7.56840722152,269.002979523,0.908941903857,50.6995015212,0.0227759387,4.52158885634,570.521611612,59.5310659399,302.761962059,387.404352948,9.70825027104,186.303417798,3.74257440823,8.46160563964,55.7724203472,5.35928065937,2.0272208754,123.209163024,0.0227759387,3.30474804953,83.5935319455,564.382749688,142.155371026,0.739297704478,65.1297038659,121.199828047,8.54022207931,1.06129512585,94.7126357535,2.0272208754,607.537973173,99.1923104318,7.85666638064,255.032599998,0.0227759387,135.501753569,51,20.1176840117,296.087508958,1.58717391307,24.8817622947,18.2007669775,111.474849651,98.3328843157,39.6451954866,111.474849651,111.797007747,54.3347072972,231.520322437,435.095330077,222.658609381,66.3823832613,422.711563844,0.336744744139,20.1176840117,186.096029431,1.13497188473,43.1426718861,134.206768197,431.654595414,252.754424525,69.0196402247,286.596936013,12.7030456445,6.09046358338,147.114140588,34.650659923,138.877535434,98.2241307338,3.68744078706,36.1559020939,92.7705875028,101.438421284,131.367022111,1.40663614204,8.13278666505,4.59381011249,5.70448723969,90.3621549209,35.6165956089,138.877535434,140.404154393,160.066850698,13.4871486111,13.9973940313,28.263412614,85.0971406323
2010,41,21.8691096884,203.206168693,117.835837763,27.8200332047,23.1050327065,12.5272993092,14.3141725905,2.44680838435,12.5272993092,639.92239133,43.9687849982,131.692686007,82.0153661247,231.991308831,88.4453530547,151.986910324,1.08086647922,21.8691096884,0.0227759387,20.0937284864,670.624552495,0.0227759387,356.348218226,249.935131242,33.5507117053,148.387688132,0.0227759387,109.491680678,1.0731369372,1.67820292869,7.60360834107,71.3706847183,2.19797930756,101.488964911,335.301320411,140.987246378,94.3117833333,0.868410071251,86.1891290562,18.7076669658,66.595558023,0.0227759387,70.7044654143,7.60360834107,279.396250696,400.227336117,8.74284036826,457.881121718,0.0227759387,42.8442318049,40,22.3747830157,240.877762657,149.983855299,42.0254786634,21.0850440676,25.626430544,168.650313902,47.8371545319,25.626430544,207.507129017,71.4027695363,17.2711919647,239.159241651,390.844920136,23.1967893008,791.233703478,0.0227759387,22.3747830157,113.078983128,24.753578343,5.11582694742,171.787288174,205.801006702,150.832265977,29.1227880464,398.335002473,9.21435716296,77.2196126216,0.0846277035775,10.1354419344,308.049310878,204.603332548,61.2246490417,0.977106460355,4.27649336973,125.833273988,11.5291581043,1.18591720994,62.5267251759,18.9882682107,4.11118240564,6.76479331147,100.186771817,308.049310878,211.936278095,149.055939598,1.70881275974,13.2058067035,69.3872827704,60.882047132
2013,47,59.05476434,102.084338036,133.003289298,32.6891600561,32.98406226,29.8446157525,177.506895251,2.03254219743,29.8446157525,44.6993023835,112.467945574,333.608894242,38.5656933078,178.478865059,94.5246061073,442.324989288,0.0227759387,59.05476434,9.63513882467,191.004727291,274.007824661,0.0227759387,336.129905225,58.8555724345,21.4601995798,268.609229401,4.03818000349,121.611855178,10.0105123731,1.25983139301,11.8677817969,44.2692460213,0.0227759387,16.617243777,234.639746618,511.555656579,170.803625321,3.54503564221,76.7416235103,120.900878767,4.00963283599,14.7487134268,6.11429108728,11.8677817969,367.085210693,128.179660539,15.9373930689,89.613582272,15.1973168934,138.302877797,46,32.7744879632,145.383940062,143.625790818,27.9993526399,13.976771538,155.583679222,176.387035719,117.388165945,155.583679222,13.8915162685,143.352449405,1.69631973744,214.480794009,332.705145585,51.1095682949,554.116672104,0.0227759387,32.7744879632,3.28610747427,77.7997545003,13.4921968322,131.582271546,476.403138993,107.21728839,17.2073615046,39.2533265682,14.4040964369,147.571472108,0.0227759387,84.4011577266,445.893820027,19.0555556795,0.0227759387,0.130178172259,52.2957000502,10.2461351018,165.335084976,1.61887427027,38.736693417,78.7045951674,93.4552217421,115.094553055,110.357043541,445.893820027,159.308111348,34.9798473472,1.26147235047,57.8122396354,59.0787933181,98.6473100109
2012,47,48.4801574892,19.7618869875,156.833130681,6.10014122107,27.9755264212,1.14663686966,118.991250676,1.19999584455,1.14663686966,457.415788286,35.6763834373,90.4942225109,29.0262162977,159.214680431,63.4471252578,189.328819133,0.0227759387,48.4801574892,0.0227759387,150.083376632,627.499701245,15.0781276844,347.845195912,213.430034391,0.0227759387,234.852936504,0.0227759387,44.0049664922,3.41893168799,0.0227759387,3.33096583223,80.6707545694,0.0227759387,9.96697536819,104.358401508,467.751036706,474.343455549,3.56158764074,133.911715162,71.2157441413,39.9849446088,7.08504164686,41.6446418438,3.33096583223,450.967222446,110.566092312,18.4803983371,216.982755219,0.0227759387,64.9371933803,47,12.3282930493,218.231497123,291.867072773,39.9627717216,12.6324653021,53.2115384487,173.954736512,3.33329245177,53.2115384487,142.232782033,81.7919983916,112.465427479,162.802332609,230.557121395,54.412525611,645.938557863,110.69010926,12.3282930493,141.586530447,127.568383024,34.9141098798,132.932007171,222.073138093,64.5882060248,124.938876381,124.35738104,37.0440572658,149.236677782,130.021903218,54.1554844324,270.763787482,1.0181608171,87.0908140186,9.50021881074,12.3838208593,137.436888914,2.32418930372,0.0227759387,105.091799261,7.57655019097,13.8557260275,36.6258365943,62.4999600646,270.763787482,156.460234613,256.371556991,4.36663365696,70.3143675123,9.60589400424,45.2073244123
2005,28,16.162786977,154.609297064,156.297849802,29.3883080124,12.9276415176,0.0227759387,2.48949737086,0.0227759387,0.0227759387,289.168005519,15.1236795609,216.129154224,2.94676869617,277.488278927,44.9866613309,79.6442269687,0.0227759387,16.162786977,0.0227759387,300.439874343,193.946763304,13.7508007177,66.2941442096,45.1904706458,0.0227759387,104.187007633,6.81065801725,48.5142380406,0.762140883879,6.74055051437,10.555014376,243.036839607,0.941144449146,141.887244737,245.7750827,455.730425174,109.416765734,0.627107835379,105.661755922,159.042317568,1.2205809169,92.1654593336,2.94217231698,10.555014376,325.050054702,170.587500216,343.199196647,412.794109372,0.0227759387,114.272845265,30,61.6075717996,64.192101283,113.44496099,66.4766357947,24.6620676935,90.0175575069,169.426001671,4.13209080304,90.0175575069,49.7265254733,44.5753211913,111.113563503,115.156369095,469.696489262,34.7441515129,312.601053033,0.0227759387,61.6075717996,13.8297848803,137.643797468,0.348795818147,92.5864717611,39.2769651547,144.632281643,39.6466931149,736.300798471,44.3360566094,167.489985625,166.268955322,2.32973847492,165.048853738,0.0227759387,54.2230438633,13.3669145558,4.770114363,94.3767471663,25.0374727558,4.70142418624,0.0227759387,4.38761389467,5.10970920644,16.1547524179,0.373230633703,165.048853738,147.716332527,373.945221147,0.0227759387,16.5482011417,108.708711546,50.2759153697
1991,27,74.4137096901,0.0227759387,0.454525274233,91.1666649984,25.3623871589,52.9161123927,48.6842546599,12.3661231204,52.9161123927,0.625645261693,108.0593773,0.0227759387,3.88733255745,189.123769153,42.957104761,7.09331276417,0.609938412219,74.4137096901,10.9500935634,0.0227759387,35.3723506078,0.0227759387,0.465484336519,57.4694822473,122.545649102,33.9243955765,230.399877549,156.550746804,1.25167103434,0.0227759387,5.34947348212,264.025208563,101.540563666,144.578753081,237.908814916,16.7289704075,667.198503916,74.1225995705,286.959567854,3.40228164894,4.61328891481,1.23700265276,1.5791254882,5.34947348212,11.3754523043,4.72924139113,249.85407218,131.3774538,0.0227759387,145.351722835,30,9.35230121083,12.9481415346,0.0227759387,119.330747331,106.971886829,116.159243107,50.4792680126,140.215736441,116.159243107,0.112467454363,66.7941246302,27.2922015421,106.380212527,155.882717709,26.6293065186,5.02927505916,0.0227759387,9.35230121083,203.324555019,76.0863536828,14.7422526818,0.715805275797,4.22436692485,29.695856919,632.370552248,15.0672051811,332.038708484,0.663427984173,6.18359707297,5.25475760749,74.6353999621,12.8079169331,305.283853302,74.0404957285,2.34888659787,0.0227759387,78.5711411496,78.0008489373,1.06184787403,79.4244201332,52.0107324686,236.677649769,16.8653109305,74.6353999621,11.203719649,9.29116696314,0.0227759387,0.8918742975,12.1617690375,251.811979515
1990,28,4.11398648987,1.88592815534,0.107527281893,108.418236576,128.341480433,0.0227759387,62.0064243571,117.938729488,0.0227759387,1.29838181968,18.5682365659,16.2952385797,12.1506597046,86.6465209732,273.56054437,0.0227759387,0.0227759387,4.11398648987,40.3422175157,3.21843802641,40.0397320339,0.0227759387,2.84745781253,73.241548008,63.5935813405,10.3013091688,29.6620025242,170.733208433,37.0274627627,11.4291787392,1.89600251743,248.516544193,88.5073290915,90.8704979695,31.521660526,3.69044090221,315.969294461,227.112782627,0.0227759387,23.2274969939,251.57758815,0.0227759387,8.80763324419,1.89600251743,23.0637362591,101.755272722,278.452751509,117.427844004,0.0227759387,461.924551233,30,34.6907458733,4.85284751111,0.0227759387,72.8255181249,3.26399393592,86.5731382792,39.2661323731,269.259310699,86.5731382792,2.0877817995,93.8850517935,4.46987081185,129.506812533,284.11257111,0.189385397977,1.50641986071,1.06778145893,34.6907458733,197.936209366,1.15072214872,27.0735165481,15.0683638527,21.4618136121,11.6563448449,408.680534784,29.2228613466,143.475039412,0.21435421735,108.023866493,9.08171439796,53.6097831405,0.0227759387,163.23266809,93.9519539386,90.9477251983,0.0227759387,5.05510149065,5.60012201212,55.6309787375,2.20775521755,24.6803740043,305.146818349,84.3149259997,53.6097831405,32.8730918512,171.954239639,8.21655501164,0.941809123637,57.0752938711,185.288236899
