Year,FPCA # of papers,FPCA Topic 0,FPCA Topic 1,FPCA Topic 2,FPCA Topic 3,FPCA Topic 4,FPCA Topic 5,FPCA Topic 6,FPCA Topic 7,FPCA Topic 8,FPCA Topic 9,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,LFP # of papers,LFP Topic 0,LFP Topic 1,LFP Topic 2,LFP Topic 3,LFP Topic 4,LFP Topic 5,LFP Topic 6,LFP Topic 7,LFP Topic 8,LFP Topic 9,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA98ADDEND # of papers,OOPSLA98ADDEND Topic 0,OOPSLA98ADDEND Topic 1,OOPSLA98ADDEND Topic 2,OOPSLA98ADDEND Topic 3,OOPSLA98ADDEND Topic 4,OOPSLA98ADDEND Topic 5,OOPSLA98ADDEND Topic 6,OOPSLA98ADDEND Topic 7,OOPSLA98ADDEND Topic 8,OOPSLA98ADDEND Topic 9,OOPSLACOMPANION # of papers,OOPSLACOMPANION Topic 0,OOPSLACOMPANION Topic 1,OOPSLACOMPANION Topic 2,OOPSLACOMPANION Topic 3,OOPSLACOMPANION Topic 4,OOPSLACOMPANION Topic 5,OOPSLACOMPANION Topic 6,OOPSLACOMPANION Topic 7,OOPSLACOMPANION Topic 8,OOPSLACOMPANION Topic 9,OOPSLAECOOP # of papers,OOPSLAECOOP Topic 0,OOPSLAECOOP Topic 1,OOPSLAECOOP Topic 2,OOPSLAECOOP Topic 3,OOPSLAECOOP Topic 4,OOPSLAECOOP Topic 5,OOPSLAECOOP Topic 6,OOPSLAECOOP Topic 7,OOPSLAECOOP Topic 8,OOPSLAECOOP Topic 9,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
1975,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,23,63.4569086825,63.4569086825,281.195975714,39.4023931583,772.368709688,63.4569086825,597.314052927,63.4569086825,102.472472987,63.4569086825
1996,0,,,,,,,,,,,25,29.0011270771,29.0011270771,651.724534357,246.714962426,1091.79379096,29.0011270771,805.468610193,29.0011270771,968.156701527,29.0011270771,0,,,,,,,,,,,0,,,,,,,,,,,32,326.068322374,326.068322374,599.748405224,232.69562772,80.5460456243,326.068322374,332.401252139,326.068322374,736.506292267,326.068322374,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,28,22.0751742095,22.0751742095,1990.52093234,303.447283987,114.781091955,22.0751742095,1346.82941797,22.0751742095,317.838208979,22.0751742095,34,14.8514288267,14.8514288267,570.221299818,99.879834158,1152.69621663,14.8514288267,1138.08330948,14.8514288267,1065.9911365,14.8514288267
1973,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,22,41.2177880269,41.2177880269,458.102090237,1.90969292869,789.848843804,41.2177880269,699.968409538,41.2177880269,148.128076384,41.2177880269
2002,0,,,,,,,,,,,27,12.1930879791,12.1930879791,704.439870206,111.19766146,475.078928203,12.1930879791,241.79445044,12.1930879791,2613.49899575,12.1930879791,0,,,,,,,,,,,0,,,,,,,,,,,58,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,28,12.0298617872,12.0298617872,1563.79606835,1541.19878188,231.129662382,12.0298617872,786.894111702,12.0298617872,734.089158738,12.0298617872,30,6.89840189007,6.89840189007,431.163530555,572.03308864,778.038967026,6.89840189007,261.882860941,6.89840189007,995.720444899,6.89840189007
1999,0,,,,,,,,,,,28,1.87924846859,1.87924846859,30.2225772715,0.0864236726857,0.0864236171179,1.87924846859,0.0864236309179,1.87924846859,114.664715736,1.87924846859,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,26,0.0864247197,0.0864247197,93.0963868874,10.4755853924,17.2453342353,0.0864247197,34.2157680405,0.0864247197,106.052882843,0.0864247197,25,18.5550956948,18.5550956948,277.004822319,264.291308016,1180.62238872,18.5550956948,685.469675222,18.5550956948,1905.34056209,18.5550956948
2000,0,,,,,,,,,,,27,143.735374653,143.735374653,30.2087503154,54.0174818956,412.315260569,143.735374653,12.3873676142,143.735374653,523.665908593,143.735374653,0,,,,,,,,,,,0,,,,,,,,,,,91,94.3932768693,94.3932768693,15.5991917087,21.0087480818,8.49819495772,94.3932768693,4.42725997272,94.3932768693,29.6831370944,94.3932768693,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,131.999020057,131.999020057,641.104959424,264.107394687,88.7746528466,131.999020057,544.182173062,131.999020057,151.133287872,131.999020057,31,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2001,0,,,,,,,,,,,24,83.3964055005,83.3964055005,430.779385805,208.227950283,373.501779712,83.3964055005,325.752662624,83.3964055005,2186.45376225,83.3964055005,0,,,,,,,,,,,0,,,,,,,,,,,27,167.804555603,167.804555603,763.14301713,1249.97996528,29.5392834308,167.804555603,210.248054442,167.804555603,1110.04224766,167.804555603,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,11.6990854899,11.6990854899,1648.75845017,1267.88061645,226.58232769,11.6990854899,873.357688371,11.6990854899,485.889724716,11.6990854899,26,74.0065822502,74.0065822502,265.630571639,224.780181816,1050.28273126,74.0065822502,414.243156787,74.0065822502,1043.85622055,74.0065822502
2006,0,,,,,,,,,,,27,16.594059696,16.594059696,533.196269632,498.508434338,1043.8559054,16.594059696,54.2922909257,16.594059696,3056.41140643,16.594059696,0,,,,,,,,,,,0,,,,,,,,,,,130,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,36,56.2611700387,56.2611700387,892.988529217,1792.92497591,273.112055407,56.2611700387,471.959948494,56.2611700387,314.378431179,56.2611700387,36,11.4693037454,11.4693037454,653.570924887,923.496189123,1585.66571774,11.4693037454,349.930531598,11.4693037454,1793.02101943,11.4693037454
2007,0,,,,,,,,,,,34,94.5927315126,94.5927315126,567.766691102,403.044967281,608.178598711,94.5927315126,116.403772759,94.5927315126,2105.30066508,94.5927315126,0,,,,,,,,,,,0,,,,,,,,,,,119,114.781465206,114.781465206,38.0689170304,83.0305678712,15.3093793805,114.781465206,4.56821449298,114.781465206,86.3915947456,114.781465206,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,45,32.9731754012,32.9731754012,1016.9315208,2541.3262186,701.219686515,32.9731754012,646.889913943,32.9731754012,286.142129092,32.9731754012,39,27.8509465132,27.8509465132,317.096355176,865.639680223,1510.21253346,27.8509465132,305.919758575,27.8509465132,1068.12579023,27.8509465132
2004,0,,,,,,,,,,,25,47.1588539855,47.1588539855,508.484217225,250.624772901,955.39681035,47.1588539855,58.82376419,47.1588539855,2134.74040025,47.1588539855,0,,,,,,,,,,,0,,,,,,,,,,,115,38.1281258426,38.1281258426,157.952181497,617.174912117,6.95965999902,38.1281258426,44.4629525396,38.1281258426,653.52607339,38.1281258426,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,26,32.3493651197,32.3493651197,999.672561098,1950.37088158,292.956463367,32.3493651197,1223.37836077,32.3493651197,390.392988591,32.3493651197,29,16.3717250448,16.3717250448,358.767578925,660.384225779,2259.2494023,16.3717250448,322.857016432,16.3717250448,1254.40255859,16.3717250448
