Year,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFP Topic 10,ICFP Topic 11,ICFP Topic 12,ICFP Topic 13,ICFP Topic 14,ICFP Topic 15,ICFP Topic 16,ICFP Topic 17,ICFP Topic 18,ICFP Topic 19,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA Topic 10,OOPSLA Topic 11,OOPSLA Topic 12,OOPSLA Topic 13,OOPSLA Topic 14,OOPSLA Topic 15,OOPSLA Topic 16,OOPSLA Topic 17,OOPSLA Topic 18,OOPSLA Topic 19,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19
1989,0,,,,,,,,,,,,,,,,,,,,,45,1.34926145566,7.27605049831,1.04372165507,0.975458527171,2.01856380102,0.613243523267,6.55345126059,2.10120512684,0.0318900597,2.28013848271,0.170581602242,0.490160647151,12.9149164444,0.511650605482,1.29186603376,0.06849754528,0.657930042811,2.34383404865,2.28049063872,13.9760003061,30,7.28746785763,3.49381801395,6.20887209365,11.8929064996,4.01250804057,0.629530757177,3.58030543709,0.104962637537,5.17618815451,4.454985671,1.085358695,0.34300259304,0.0901893655167,8.07379556335,0.0318900597,0.581077106247,1.88843473031,3.93926813725,0.15711508077,0.572791366643,29,3.01311551754,1.30322970056,1.34898874349,4.4584744425,7.75592286002,1.54504019609,0.208110560941,0.253302340234,4.36247952966,14.0506585748,2.47684163632,0.371925489917,0.696705589417,0.206683934662,0.0318900597,12.2387834084,0.304569716155,1.38066083473,3.05523038378,0.0924290543517
2015,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,54,1.35964769571,1.62407918996,2.61990718444,0.905373501315,8.33906879317,6.78316042454,0.325861801974,3.10715020946,8.21801008149,15.7685876505,12.1500845918,6.51120102972,0.715047602091,7.36409891999,5.77989957907,10.2369245945,1.30346231616,2.78311014339,1.48381502944,0.370421966261
2014,30,2.10819926743,1.1182537935,4.52760103155,3.19245273643,10.9637127019,1.08392241105,0.0318900597,4.87690274544,5.34620606301,16.4043008343,6.53340202837,3.48360035095,2.37034925139,0.616609194703,7.09138050337,6.06800026293,2.08283462166,5.59008480211,1.64802683035,4.333405037,51,5.19351958847,3.57553627472,5.31963454942,5.70721190089,0.55432847781,3.30185405367,5.34374405492,3.82844506615,5.93531561941,4.72032556079,3.99080853707,20.0959533578,0.384272317775,11.1061526495,3.74741812866,0.564973690598,7.43637344643,5.53131541027,2.99503961997,0.38401026212,58,6.24781161959,2.67421401403,2.08982890744,0.523561646966,2.3968629234,6.03124235286,0.76213415541,3.49819055808,7.59489330337,2.20448748794,13.491341197,13.4756922635,0.4936386028,9.28834269236,4.41985103963,4.21790735569,9.41937364802,5.70821825432,5.86528152562,0.200444887291,54,2.21214877009,3.10581232769,2.42989683559,1.69144412608,7.71219673702,7.16649606418,0.731472923561,1.44084138859,4.38121674481,11.4151261789,11.3682998399,6.94415412203,0.570802982231,2.24066307817,2.49084251569,18.9496409799,4.17009200092,1.31234996646,1.14360329629,0.0866262416722
2011,39,0.998709260836,0.680434914249,14.7638370511,0.0318900597,10.0999653981,1.32714487443,3.83099079577,2.69933125193,2.81469028688,17.6126315045,8.27754183008,0.928508186618,1.63349939685,0.232175492285,5.44949550646,8.42753275871,2.37695358025,10.4587885888,2.33779451541,0.912296197279,61,4.33057989641,0.963783775269,2.01221845128,3.452169982,3.77797468943,3.94590133727,2.68821149309,6.29316164742,2.87267343758,4.87712971442,3.73994134111,10.0716732402,0.901773280502,12.6729310648,4.73021891157,0.849246803898,14.9556389233,12.2281899497,2.10706625836,1.41321863552,54,5.00855426429,1.37622625816,5.12676029773,6.8973210869,2.95014600441,3.69293968751,1.96300809983,5.92694309501,3.64388193098,1.82518929179,11.1181690128,20.7840492983,1.33757010201,13.0586041277,1.73363107475,4.82112630959,11.9118678294,5.32861321169,2.02374848779,0.146488760302,51,3.39941603544,0.901742350659,3.98051972354,1.72537069737,9.60938721056,12.065635267,2.51738267037,1.8647865193,3.91032975576,6.47112264069,6.75733221157,2.76461546644,0.612629603167,10.1430398933,0.131772000371,16.6105628797,2.61254221348,1.75191528886,2.96423783349,2.05914720738
2010,35,0.934622105426,0.0874893257771,9.77233425989,0.87568624674,6.77654030855,2.90898313779,0.585868130643,0.348397477146,3.96652784317,9.57121266904,2.4880331934,1.82641315161,4.83746798606,0.0809882062429,0.992430614937,10.0622772593,7.80964498767,9.16802036382,0.912532807414,2.00375969074,62,5.13947026485,2.54628132361,0.413740159229,1.37144426519,0.440708257587,0.96789155644,7.03956630989,7.07572536131,1.28576943447,2.5442226724,3.5355987535,8.87902605664,3.19555680757,9.2640726859,6.62706245226,2.00875078579,6.13920147484,7.89202466247,0.919278839715,6.30402197343,41,9.60775505646,1.89795509114,2.43566373317,4.39320181735,1.36092812059,4.99694389918,6.18333176873,2.58612478402,8.22537522701,3.67209583855,10.8974436661,10.5351262385,0.300973957368,19.2728702475,4.26321639026,2.16414718312,16.6111043862,6.76427206112,1.01098428395,1.16560451664,40,4.84127948075,9.73499220141,4.8843481015,0.895935424403,7.1665676526,3.0979989272,0.73589473982,0.783626679813,7.42629718128,15.2632254997,15.595124376,4.89228169623,0.19678308258,8.10552769353,0.337557834275,15.4022109185,0.0318900597,2.77532302649,0.731843735883,1.33909288217
2013,41,3.62953063431,1.35085096784,12.2091119088,0.365086426768,8.8404941228,0.788992781066,0.240166306515,0.962419562778,1.41080428171,9.8169577971,4.71412303334,0.635549968602,2.13541964226,0.506162682105,3.77434601473,14.0462534347,5.8651378368,6.19560869005,0.559411702051,0.713324619071,49,1.1594920806,1.78700125876,0.18835149842,4.96227943824,1.43158936551,2.80734561071,7.02288069174,6.60434316195,4.50158650299,2.12755330929,7.45899572681,24.2070715782,3.16215573137,16.4274295885,9.3100744344,0.820588842712,7.60575104817,3.79465898111,0.299262812447,1.734899736,47,3.62257657013,0.589138260679,2.51825450889,4.25372569224,4.88334440214,8.62786372553,1.96033850561,3.39526740392,4.87822238454,3.68916297269,13.9767793014,7.62949572263,1.37518416073,15.1781337334,4.0718407612,4.05505317058,5.32100019126,3.98198601921,2.1484732366,0.311747704485,47,4.07504376371,0.285817359774,3.88981436637,0.544599684317,10.1886024249,6.76114634044,0.247258243896,2.47951183201,2.30353280118,7.74941765843,8.49496204207,4.68063471587,0.899165105604,6.71726136268,1.03081253124,19.3431481089,3.21091182401,3.35817000584,3.37467070344,0.365022446817
2012,34,1.54603878557,2.10681131528,8.00023393019,1.09590420006,7.24378425194,3.42377895942,1.48042670656,0.978444503153,1.58812396352,15.2763906138,3.61845685531,0.931241442421,0.157981721953,0.335006519762,1.30271298429,10.7943108629,7.12166427114,8.13043022744,2.30662783586,2.52296065503,58,6.20411331528,3.7364382109,0.502730135047,3.25666068774,3.46007041649,1.39899426242,2.33894824991,4.59806386152,2.8324755624,4.90131074403,10.1422445212,16.3303499335,1.40620412027,9.72616359704,7.90956581032,2.85107380877,8.07429320933,6.15696937757,1.53456578697,0.604151790122,47,4.22170328766,2.33172700057,1.87410781015,2.6123681044,3.08917535531,3.49796744183,1.7053645196,0.973700245053,10.9826174132,3.17797724124,7.33398660925,19.6821436829,0.48849602887,14.9332678075,3.95600797303,0.761362973498,16.2705219947,2.7391809911,0.846575079868,0.0318900597,47,1.19346759411,1.63571096618,3.366207099,0.273267975821,12.80290669,3.19673386674,1.04727662567,1.81484669255,3.69758767173,9.22043993223,9.21270097204,4.5544054079,0.273599024591,6.00959646615,6.68676196889,17.1181172485,2.85286666792,2.43447213431,3.65868142922,1.1626228454
2005,28,2.68602881028,2.2363171595,11.2973415075,0.385477532357,8.5785445307,0.378047880432,0.473600852414,1.40982460604,2.13161296894,31.7532069391,2.29607394399,0.1856106065,1.74338156409,2.42704101285,3.89370705573,4.53788175924,0.0318900597,11.6268700495,1.03010804389,0.499520025432,121,4.58437411323,4.14268111038,0.327754659479,0.646660690263,0.520056496884,0.579740779251,1.73226359977,2.96469951125,0.9415594907,0.411114813355,0.762680973961,1.81192566953,4.93729714674,0.255950338631,8.95266722841,0.154055212528,0.175282323304,2.00725029666,5.63145705141,14.1313875394,28,6.79349651348,2.93541081897,0.231045917761,17.8817907881,2.00572358277,1.45713878232,5.34422649696,3.84106344431,0.549351564593,5.0251620139,5.27412756985,18.7234113802,0.442944017632,10.5791798858,6.31433167497,0.0318900597,6.94646933195,9.50474702948,0.710498640164,2.33150596674,30,1.02836798359,1.14697273474,4.92156247995,1.0168679394,11.8368269044,5.82039239015,1.85649528697,3.34585378428,4.41661098527,11.0237634158,5.55500988053,5.16531421941,1.38668290277,3.26370634435,2.03077156183,8.46522383291,0.0318900597,2.32408116432,3.76951726382,0.0318900597
1994,0,,,,,,,,,,,,,,,,,,,,,27,0.0318900597,0.354613101833,0.0318900597,0.0318900597,0.0318900597,0.180038207848,0.337555093626,0.172603810822,0.180936128656,0.0318900597,0.0318900597,0.0318900597,0.528597385785,0.0318900597,0.809816217811,0.0318900597,0.0709467137222,0.0318900597,0.0318900597,2.87412609937,29,7.2454574102,0.494632099255,0.263605047959,34.1192727429,1.59133319491,7.79280500147,1.16272584674,2.21698525504,13.633418193,2.01476788668,0.126729498334,4.71082743599,0.320384782,1.82574894275,0.313186667638,0.218050638638,1.41978519452,0.5499434151,1.19045546364,0.082858890931,38,0.803169202805,1.7482448675,5.71481450021,9.27492095876,7.74329485373,5.22788346014,2.61862102273,1.14411586068,3.34788348609,14.888001095,1.52247285591,1.80812076618,0.8101965405,0.654630231968,0.0318900597,4.12369462031,0.608163944068,0.82035743525,0.976344965237,2.21834888822
1991,0,,,,,,,,,,,,,,,,,,,,,12,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.624988297033,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.182400773808,0.108713684883,0.451542804917,0.0318900597,0.0318900597,0.0318900597,0.0318900597,3.4584714045,27,0.796248112537,0.0318900597,0.0318900597,1.31896264799,0.180038207848,0.217075244885,0.254693226441,0.0318900597,0.328186355996,0.217075244885,0.131622032107,0.550402888267,0.0318900597,0.0318900597,0.0318900597,0.0755592424185,0.541575783837,0.178649136567,0.180038207848,0.0318900597,30,0.0318900597,0.15218086428,0.147721082477,0.0318900597,0.977611398513,0.06522339372,0.0318900597,0.0318900597,0.92375890435,1.35960982043,0.156666870767,0.0318900597,0.0667463361533,0.1318900597,0.0318900597,0.12976622061,0.24477131961,0.252342133123,0.306282372327,0.0318900597
1990,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,28,6.32236841134,2.75527438117,1.5192352788,14.4244154924,1.93456585689,4.52462158642,3.86367921335,3.15481418238,9.59516381514,3.92831056493,0.0318900597,2.69091606197,2.57068096942,0.511005837811,0.372178323796,1.65654506427,9.58677159771,0.920177832121,2.2606114261,0.5145752381,30,0.282632506877,1.70019557457,4.61121567953,3.95616967501,14.9652394661,1.38958982488,3.15926165984,0.0318900597,10.0384362732,13.0455479035,0.113741905993,0.83075467525,1.98409903725,0.77543386676,0.0318900597,3.68266863723,2.63151965135,1.09587803228,5.030229649,0.348073722543
1993,0,,,,,,,,,,,,,,,,,,,,,34,0.149537118524,0.430465164232,0.0318900597,0.0647450037971,0.0722889492647,0.0318900597,0.366959066085,0.13594654315,0.0318900597,0.0318900597,0.0318900597,0.109493500565,0.189083381065,0.144287248379,0.397297938574,0.0624562888824,0.0318900597,0.0318900597,0.245389666738,3.01720914211,28,5.18950851563,0.250480876629,2.61693558059,18.1831004063,3.00066243379,2.757045598,8.62951320145,0.130267519661,8.14668230077,2.26851642454,0.655337154286,1.73320162326,0.711770745864,3.58172431584,0.0318900597,0.360568678821,5.19286369939,3.82063349244,1.3057797119,0.214175997896,42,0.5731345578,1.71223337573,0.340388697005,5.74664550632,8.68980559096,3.58364963207,1.79098780837,2.71086010412,8.34598491689,15.8547922525,0.458166271264,2.18181343824,1.75548196167,0.0318900597,0.0318900597,5.23269438378,1.69131118784,1.57123731213,2.92527945792,0.26669747705
1992,0,,,,,,,,,,,,,,,,,,,,,119,0.352258496782,3.7852944119,0.126319458541,0.265642863426,1.00412330538,0.422241249007,0.84757049945,0.55566894744,0.25060817747,0.636888428859,1.05816581402,0.32068903521,6.21621508144,0.17328311555,1.41012689445,0.0849386397655,0.303276697466,1.2794275682,1.36013804031,23.9076135449,29,10.5571051605,2.05871300892,2.12057846416,18.6018867571,1.16847244426,8.89401766417,4.49070052541,2.0622856654,7.63569837235,0.120377656462,0.600266486507,1.87790202236,0.685163117403,0.809019722697,1.17043675378,0.900177217752,6.95941916339,0.4495600955,1.6666127817,0.981821907207,30,2.19198811287,0.362528319787,6.35646937333,5.94362809578,9.63914989854,3.84020781407,6.18438415535,2.87924727615,1.4642705804,16.1931211288,1.19229251396,0.11509804434,0.966095628433,0.57584019636,0.0318900597,3.38750677879,0.990764096797,1.26135489918,2.33007416153,0.0318900597
1995,0,,,,,,,,,,,,,,,,,,,,,36,0.115223393033,0.423538352147,0.0318900597,0.0627387171417,0.0318900597,0.0621965059222,0.306771466481,0.0318900597,0.0318900597,0.0874456152556,0.0318900597,0.0318900597,0.212167910628,0.0936435557222,0.765371057544,0.0610697872417,0.0706745987583,0.170778948589,0.302606916017,2.74001178906,27,7.51638976589,0.300710295019,0.226400586356,33.7152027824,0.785022519837,2.0614009404,4.93252309405,0.330044622178,8.49913195887,1.12071636627,0.0318900597,2.13538201776,1.25811790997,3.52212726855,0.0318900597,0.225298846307,4.11475141423,1.01897557788,3.00215727109,0.0318900597,34,2.96298266084,2.06743834526,8.53528053987,3.59179167199,7.92588437479,2.70418123317,0.765012026338,0.536080885979,8.91158730546,11.7022128722,1.68087961592,1.4688568287,0.546931298079,1.05580903229,0.0318900597,7.73964530657,5.57402980723,4.12944743142,1.64613320064,0.267609050412
1979,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,26,1.06551079517,2.22141641899,6.14499820797,0.973500101377,4.52619542353,4.89494941134,0.890337840296,0.0318900597,30.6870173609,1.71101984568,8.38526162237,0.523051364108,7.90233746472,0.26054294295,0.0318900597,17.2056973245,0.413069388419,0.904403900242,0.0318900597,0.948206217654
1997,41,2.08138803621,1.71841600636,5.55152139823,2.1429557856,4.53963472157,1.32306728915,3.80187048122,1.61157609115,8.63580883513,10.4123898577,0.19809500558,0.0318900597,1.17395929544,0.21334996071,1.8387391847,1.94173588865,0.645002237451,1.28035706046,1.08952715316,0.430907089671,31,0.107483480819,0.196950966332,0.0318900597,0.0318900597,0.225668984248,0.0964061920903,0.787889311532,0.16353473879,0.0318900597,0.0318900597,0.0318900597,0.101985015555,0.868111434729,0.0318900597,0.880803149352,0.0318900597,0.0318900597,0.0318900597,0.159640032739,1.66554315693,30,18.5652291596,0.519148186383,2.61689502291,27.3929217069,2.00453580588,1.61213337539,3.50468500267,0.76112919129,9.80021901525,0.307425310053,0.663336402317,4.04344652429,1.26293646795,1.35925201127,0.0318900597,2.38534966394,1.21447818691,4.84003160997,4.03104241337,0.155049411167,36,0.149748711386,0.114056492894,0.121394004047,0.221161547003,0.908661890492,0.327646769844,0.0607953115528,0.225484478861,0.419425661258,0.790217025767,0.224174235406,0.0318900597,0.200005020725,0.0678072959944,0.0318900597,0.0916464106917,0.284361249958,0.243301354642,0.619171306528,0.0605178630556
1978,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,26,5.33746660197,0.640574888415,10.0907161335,1.28267047833,5.87400889223,18.0751507671,0.388951465531,0.0318900597,26.4173558215,3.41565645325,0.828166818227,0.7479509542,1.3145333195,0.226526732858,0.0318900597,10.2506299374,4.70571414497,0.487931975192,1.61129369039,0.647952769142
1977,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,2.85032154247,10.6268153201,15.2372053424,4.67103729213,2.39346127613,7.53825513403,0.147986253829,1.0084500531,34.9738116189,0.431506887988,3.76797091928,1.24188949987,1.42973065905,0.0318900597,0.0318900597,6.76248988348,1.6010855315,2.19082281729,0.531120626067,0.795060416925
1976,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19,3.28135057004,4.05877681986,9.28825547778,3.24173873292,3.20299108838,0.744796937458,0.214744881321,0.0318900597,14.8083883598,0.0318900597,4.03414675994,0.155873888942,3.60457634867,0.0318900597,0.677969701742,6.13272630943,0.0318900597,5.75555917215,2.51601396201,2.52917404984
1975,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,22,1.14003975059,1.64632651963,4.30104338953,0.290036627277,3.40247793233,4.62798865694,0.107346573155,0.338756020423,11.6021140079,0.322852440018,0.8670121549,0.437820891536,14.621826477,0.372167778223,0.0318900597,9.6150783595,0.502470719814,5.94261957564,0.967562721677,0.227643265386
1996,24,2.39917987144,1.63533536782,5.31369078182,4.86284162302,7.40657059459,2.54481179575,4.00158631323,0.725079582429,1.51448176067,17.9318887921,0.0318900597,0.463765573913,1.9684533784,1.84139257576,0.403019273167,2.27370456885,6.76161680332,0.7672472844,3.13435513383,0.0318900597,31,4.98723248669,2.12941506584,0.0318900597,2.07560790818,2.37481676679,0.832999896055,6.78193489807,3.05526360138,3.97494045628,0.413740086019,0.205545864471,1.96162668995,10.5250765761,0.0318900597,6.90740954439,0.331642554958,0.592446795397,1.42331020055,5.6442626286,16.3890071192,27,28.7343966794,2.62332459237,2.07233391963,6.99641744062,1.59376549164,0.614793159448,1.15551388868,2.56395285607,9.77952124249,3.00670288801,2.31653610069,4.51493139234,0.4005189196,4.20628292599,0.730955059315,0.625022617093,8.15727680498,0.88355139843,1.54811190308,0.669447469574,33,0.425278710145,0.0318900597,0.306839031676,0.34889214117,0.485780179909,0.333300340876,0.123204216827,0.132280468336,0.606742646982,0.659335832418,0.147696856827,0.062193090003,0.0830148025758,0.0999692540545,0.0318900597,0.44165881333,0.236359438791,0.199513313061,0.274314302124,0.0318900597
1973,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,21,2.69549239655,1.46655318135,13.2655141026,2.75887080976,4.32795946853,2.69657940687,0.259260597052,0.269985297795,6.16708581615,3.59913000773,0.351546381881,2.48748499529,4.79767708952,0.0318900597,0.1118183606,4.68215611517,0.10937484399,7.53837825913,0.739229610629,0.615147726905
