Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24
1997,"PLDI","Spill code minimization via interference region spilling - Peter Bergner Peter Dahl David Engebretsen Matthew O'Keefe",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,2625.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590
1997,"PLDI","Call-cost directed register allocation - Guei-Yuan Lueh Thomas Gross",0.0306918590,0.0306918590,0.0306918590,0.0306918590,5.3245122924,4844.7368714256,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590
1997,"PLDI","Register promotion in C programs - John Lu Keith D. Cooper",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,1341.7657407572,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,13.9777210831,0.0306918590,413.9297736256,0.0306918590,1469.4495319700
1997,"PLDI","Fine-grain multithreading with minimal compiler support&#8212;a cost effective approach to implementing efficient multithreading languages - Kenjiro Taura Akinori Yonezawa",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,1156.4910802495,0.0306918590,675.3236201702,0.0306918590,0.0306918590,0.0306918590,0.0306918590,114.0156093702,0.0306918590,3143.0548393967,0.0306918590,0.0306918590,369.1694388431,0.0306918590,0.0306918590,0.0306918590,0.0306918590,502.1295631243,0.0306918590,0.0306918590
1997,"PLDI","Data distribution support on distributed shared memory multiprocessors - Rohit Chandra Ding-Kai Chen Robert Cox Dror E. Maydan Nenad Nedeljkovic Jennifer M. Anderson",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,278.6953770561,0.0306918590,817.3616559229,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,1924.3026850886,0.0306918590,0.0306918590,0.0306918590,0.0306918590,64.4672271898,0.0306918590,1431.3265140376
1997,"PLDI","Data-centric multi-level blocking - Induprakas Kodukula Nawaaz Ahmed Keshav Pingali",0.0306918590,0.0306918590,0.0306918590,0.0306918590,45.9952169005,344.1961328892,0.0306918590,0.0306918590,28.9535954569,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,140.1854603075,0.0306918590,0.0306918590,0.0306918590,4066.8230537409
1997,"PLDI","Incremental analysis of real programming languages - Tim A. Wagner Susan L. Graham",0.0306918590,0.0306918590,0.0306918590,2026.2025368181,0.0306918590,810.2475097345,0.0306918590,0.0306918590,1180.4456121199,0.0306918590,0.0306918590,0.0306918590,0.0306918590,12.0694389350,0.0306918590,0.0306918590,0.0306918590,12.6796741057,0.0306918590,1098.2573155546,0.0306918590,0.0306918590,90.3777756949,350.9656719093,0.0306918590
1997,"PLDI","Code compression - Jens Ernst William Evans Christopher W. Fraser Todd A. Proebsting Steven Lucco",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,1741.9065746052,0.0306918590,788.2482348290,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,19.1556004491,0.0306918590,0.0306918590,0.0306918590,121.5257651285,0.0306918590,0.0306918590,167.5376287885,0.0306918590,0.0306918590,0.0306918590,267.8103473536
1997,"PLDI","Flick - Eric Eide Kevin Frei Bryan Ford Jay Lepreau Gary Lindstrom",0.0306918590,0.0306918590,0.0306918590,0.0306918590,773.5909282225,0.0306918590,0.0306918590,968.7337664694,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,364.6037769378,2585.2001575533,0.0306918590,0.0306918590,19.4447276807,0.0306918590,51.2043806619,0.0306918590,0.0306918590,118.3098075472,0.0306918590,416.1579897992
1997,"PLDI","Reverse interpretation + mutation analysis = automatic retargeting - Christian S. Collberg",0.0306918590,0.0306918590,0.0306918590,515.8330914335,0.0306918590,703.4917102788,0.0306918590,96.8787218737,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,176.6599695812,0.0306918590,376.5660979928,139.4004376412,0.0306918590,0.0306918590,0.0306918590,3365.3848142118
1997,"PLDI","Dynamic feedback - Pedro C. Diniz Martin C. Rinard",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,798.0537315762,0.0306918590,4430.5297552319,73.9166173555,0.0306918590,0.0306918590,0.0306918590,773.3025267606,0.0306918590,0.0306918590,0.0306918590,0.0306918590,26.0018339496,0.0306918590,0.0306918590,0.0306918590,185.3796862801,0.0306918590,0.0306918590,0.0306918590
