Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
1990,29,0.0483335593138,0.0483335593207,0.0483335593138,0.0483335593207,0.0483335593172,13.3307103302,0.93837058141,0.0483335593207,0.0483335593172,0.0483335593241,31,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593,0.0483335593
1993,29,24.9512742233,15.6187976262,91.0663764835,15.6187976262,701.976192581,2041.74415771,236.09695702,15.6187976262,390.66408709,219.369276916,43,18.2047223805,25.6251449497,94.3704844267,25.6251449497,133.381206291,833.463448346,1202.244705,25.6251449497,49.338401889,708.488653338
1992,30,20.9509716914,0.315955939757,274.106340297,0.315955939757,439.374507348,1750.42041109,46.9773237237,0.315955939757,433.421540831,451.717706126,31,58.1340818174,0.0483335597516,271.394604652,0.0483335597516,259.975391228,371.723723822,1172.88948747,0.0483335597516,153.932675004,1444.77224189
1995,28,15.8478907187,9.7288746096,88.9965052077,9.7288746096,886.386531488,2354.31752819,194.207431088,9.7288746096,353.574260528,191.21656454,35,55.2078748219,30.3904055383,366.667812761,30.3904055383,204.507831549,814.666689899,1297.35027284,30.3904055383,188.540158249,1126.94290743
1994,30,44.3649964362,0.04833355974,89.2732256572,0.04833355974,1026.42251008,2056.60807337,207.764050003,0.04833355974,166.964519555,490.907626484,39,23.1633549552,43.1618940877,199.003801548,43.1618940877,293.022500188,545.44294755,1590.77177628,43.1618940877,115.649609099,978.174432942
1979,0,,,,,,,,,,,27,98.4282787344,36.2188134798,282.725643502,36.2188134798,35.5455968121,319.983290788,6.08969898354,36.2188134798,45.7097505118,2077.93722841
1978,0,,,,,,,,,,,27,91.8765137426,38.5215007496,99.97060536,38.5215007496,42.6676918569,470.52270797,103.243881481,38.5215007496,170.614515948,2033.72662069
1999,26,0.04833355945,0.359371275823,16.9555917277,0.359371275823,62.7953430607,27.9376551337,51.7943333573,0.359371275823,41.2676283789,59.2601827017,25,170.589401805,0.048333559692,180.829932068,0.048333559692,308.082880797,290.555889617,2089.34492224,0.048333559692,332.375954739,1033.19935365
1976,0,,,,,,,,,,,20,2.98986073457,18.1417129962,157.774012441,18.1417129962,147.667614239,497.849193755,23.3861876245,18.1417129962,76.628285536,1749.61304227
1975,0,,,,,,,,,,,23,0.430191921817,7.97038606477,514.006328565,7.97038606477,18.0923263703,212.547129029,26.7915586356,7.97038606477,90.1442697711,1223.73428615
