Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19
1988,32,140.308007529,196.289623799,23.9352984897,404.198203937,704.376858837,15.9709344724,160.080401646,68.9533413196,15.9709344724,223.750936563,84.6671011991,237.700603748,23.2620998002,82.8659658789,613.637518612,11.4003875372,3.7000041872,140.308007529,63.3296755671,22.3938707581,27,14.6013001249,211.313886992,37.7622069164,205.412298415,735.090868676,100.718470544,215.352900711,280.160238239,100.718470544,1.81690274708,305.657875302,74.4626642452,91.6750279247,184.986559613,102.592413165,9.02385614096,40.4944152379,14.6013001249,615.061696241,0.0362387941
1989,30,98.039026157,62.7539086137,39.0355194637,685.879165024,511.122100567,23.5579989112,113.215444692,43.6833006431,23.5579989112,161.300357123,203.560500091,360.455726827,68.1125607472,208.029894184,602.444005937,6.65732790594,0.526540318803,98.039026157,193.371132516,17.1832410919,28,2.74428504891,211.58625183,0.256899943339,116.670554804,320.825332176,172.550361036,112.56891787,682.468126507,172.550361036,2.49163960933,226.555282418,60.4468583671,243.53220943,316.502051995,47.0743340061,10.4937505649,5.15241320093,2.74428504891,733.153193624,0.0362387941
2015,0,,,,,,,,,,,,,,,,,,,,,54,250.504585006,258.501781936,398.968302616,37.2098417845,125.311118693,170.51394559,281.743118305,113.979907814,170.51394559,43.7855350568,185.641079042,83.4850927127,577.989566665,399.739969856,16.5987727495,639.88912714,48.8683982279,250.504585006,775.045885887,684.485771759
2014,58,176.329739819,160.925831124,285.86488549,22.3341421027,100.615754186,8.19015412529,343.737433543,78.1816531361,8.19015412529,726.970839336,197.333622271,420.369156024,104.374846549,301.826562675,180.013430307,689.975765893,0.759410166609,176.329739819,26.0316067055,898.352807107,54,128.618557037,251.140161845,231.01308271,25.599670051,47.2254742617,168.712076665,611.154270173,384.999846325,168.712076665,36.8917924123,354.849053816,67.0057004898,439.698752211,418.125301547,28.3385792942,848.483419021,31.1645643389,128.618557037,683.15523731,400.866750821
2011,54,272.885934748,108.071898267,306.938365704,89.9752633162,265.61449049,10.6138368659,47.8023789766,98.390537521,10.6138368659,1087.47669027,105.678300294,552.972567467,78.4000655749,350.918554473,134.641778063,1088.87437187,3.33716633065,272.885934748,40.3377881584,584.128349209,51,336.76040546,305.076058143,33.5834189532,50.8708078136,95.6340109111,139.853847276,330.583634929,300.276735003,139.853847276,135.520284815,164.348271401,361.898789313,502.758417278,404.920106155,111.468773126,897.414918904,14.3136238337,336.76040546,433.226048025,124.916097297
2010,41,332.074905533,300.636149234,206.813374644,31.5532439938,82.0175986022,0.196215120622,94.5639817286,18.787285252,0.196215120622,1510.00820906,98.3979434353,720.554490757,123.074893253,428.2729631,175.623828719,622.765562887,5.58754228504,332.074905533,72.1211014199,457.209244251,40,165.033110213,292.275830095,219.983879254,93.0263406659,36.2782174887,66.6040423014,314.729591596,438.084394315,66.6040423014,107.134739343,21.90806255,36.836175604,198.158796201,406.765086441,210.382844281,1584.96930705,0.0362387941,165.033110213,812.577493025,190.228474153
2013,47,287.049020527,283.740355463,226.39918209,10.0642033929,149.40462973,21.4340684206,174.843005253,132.901827901,21.4340684206,588.25730637,183.925355905,542.24391878,107.774593612,360.888196613,150.489539334,912.545938496,1.13415780336,287.049020527,45.3401193185,694.125416863,46,273.141535214,188.104917809,203.996093574,94.1839518379,93.9770779354,186.612943564,659.056148004,406.877850732,186.612943564,71.6817158078,234.073519492,124.589167805,413.630641897,302.839776862,34.6551385879,700.947320806,3.21873338676,273.141535214,667.405586192,294.260786291
2012,47,277.770715583,13.3708866262,243.149063841,95.6795053039,111.927518965,7.33111271088,148.506289397,67.1594746531,7.33111271088,1060.16858613,90.2655868563,980.493421953,95.6105602893,293.390017559,174.594431608,775.737976957,0.895314438283,277.770715583,16.8456624389,655.769375474,47,207.914553905,230.811531096,418.027854656,42.0448441422,56.051495275,77.7534759798,589.856186392,367.521239235,77.7534759798,140.149368148,133.098368515,29.3200844108,194.621613634,485.550823972,9.26637360758,757.555817531,133.311655703,207.914553905,741.905729124,413.80636897
2005,28,122.673345904,161.751425971,223.693996416,4.34407640908,246.812032404,0.0362387941,6.1390938939,0.6875893709,0.0362387941,896.652313358,10.6173313704,487.218504074,63.2964021065,611.544885984,815.923500209,388.431672901,12.7759975235,122.673345904,29.1112775569,840.948364079,30,133.46533171,209.688341889,153.029820191,0.32731575496,79.6168447742,227.691847205,512.013924161,428.839320244,227.691847205,49.2857645733,93.6417223382,157.381577308,62.9616358127,855.534476389,1.03820366822,992.675223806,0.0362387941,133.46533171,291.295128694,107.67821299
1991,27,59.8960780175,116.610983282,0.0362387941,123.23983461,455.757249594,63.1625597932,115.216844646,35.8098456802,63.1625597932,210.249989899,476.759559974,575.6679685,142.426242605,140.56773086,856.335654372,31.9434016588,3.90466493003,59.8960780175,237.483486817,22.8570632985,30,31.2340397065,231.544167277,1.98948773397,302.990478325,445.442977358,241.203838021,173.914750696,111.599572692,241.203838021,4.66994336199,482.03079682,116.132253396,172.348901399,148.360268666,2.02886426807,0.0362387941,2.82163673724,31.2340397065,1019.28475454,0.787261698937
1990,28,36.0459326566,90.8386816599,0.169294872346,564.129908124,904.485644138,4.55013183192,110.945264222,138.25856602,4.55013183192,36.0070876841,156.582098307,415.85475346,72.0146405959,224.168349586,667.622319471,24.5524281812,0.0362387941,36.0459326566,100.321500268,6.68872866458,30,53.4915357797,39.8614703348,0.0362387941,142.723782908,238.351355226,231.320177207,86.6708035886,298.271846517,231.320177207,57.2554798951,464.729332857,45.5857413596,238.962631969,458.791849243,41.8571497705,2.41669530273,9.05995061735,53.4915357797,820.75784835,0.902506510327
1993,28,58.9157813186,230.211922493,28.0007892599,170.690122306,827.418410949,12.2799337135,37.0547449231,8.45838095624,12.2799337135,471.953903947,141.271131371,618.832859829,82.8019617809,156.24492754,770.292608532,37.2900471419,2.21179133457,58.9157813186,26.5398945129,26.1312775117,41,49.9617138154,328.22316464,3.670181313,57.1175805712,453.308219714,47.6030473636,145.870245471,215.458053285,47.6030473636,60.7796697654,318.888532453,231.633030809,166.005943663,311.506956886,170.263281557,28.3964799026,2.86188468316,49.9617138154,913.0811461,12.5064924662
1992,28,155.813864844,64.5214673233,6.42819551953,151.206484109,686.866942908,7.40708799413,143.753130623,23.4814069578,7.40708799413,112.560179239,272.583256237,455.818683678,171.785731072,82.0701540247,1050.01830991,31.1072847206,0.0362387941,155.813864844,8.61791299888,79.3560635143,30,63.5731865387,304.687754473,25.2700411917,401.206638766,344.380670424,141.05473657,224.061003158,282.359443422,141.05473657,114.325049898,244.190987371,18.6647707103,114.215784918,132.231615708,40.9488398126,42.4956431755,47.8790457084,63.5731865387,942.120861807,2.59744578734
1995,27,57.1731117204,253.637632775,56.3264809435,19.777746969,1094.37640505,7.69129628716,16.7771825456,6.37516940844,7.69129628716,165.673551342,106.313096296,1144.42773035,78.7361571193,90.2298982901,798.160547389,34.7380800474,0.475601136267,57.1731117204,39.5373729813,6.35923315582,34,88.9875814552,202.897639404,0.0362387941,102.838002823,597.887153678,165.81898236,393.468927497,150.101795748,165.81898236,11.4609374492,446.337033822,170.338632126,182.448284053,158.689084638,227.235468267,25.3566291665,0.915742186868,88.9875814552,1014.84660721,9.69464786186
1994,29,25.2395612354,239.014321825,13.9470788558,131.271256501,1001.04477803,1.5936775946,69.6039101712,48.4518306799,1.5936775946,315.851038262,484.227943997,661.286763376,79.2125202694,85.9919131125,775.703034202,18.0684253134,0.0362387941,25.2395612354,28.7135115327,4.0475264007,38,34.9048869144,250.153226115,28.3811751102,148.568387131,384.514377627,137.342378653,112.326876966,195.734596472,137.342378653,143.835998248,438.494369387,70.5549113382,101.62460277,272.372233348,232.380011755,0.299748448503,0.886845362561,34.9048869144,1132.25940896,6.15926518066
1979,0,,,,,,,,,,,,,,,,,,,,,26,82.6188006145,10.4496294752,0.0362387941,436.88681362,484.113413985,42.8193854853,59.129837578,825.551600006,42.8193854853,2.82659883385,317.803279414,19.7520600057,295.987083838,65.8493524422,89.1912816082,95.8061506195,96.5955217075,82.6188006145,43.5256106522,0.0362387941
1978,0,,,,,,,,,,,,,,,,,,,,,26,21.0288447204,3.11608943798,0.312049422277,765.932672444,319.234478471,14.2843025237,67.4424757051,502.428937799,14.2843025237,1.06083904847,183.391572694,28.9877287587,466.489108264,147.594010486,183.820090085,170.49169893,110.819240308,21.0288447204,74.2287285612,6.32568405665
1999,25,61.388908771,239.36909087,1.61245911681,182.623335194,802.692226461,0.0362387941,89.7050078167,4.14249597622,0.0362387941,385.572574902,45.0118668191,769.500661105,64.4217257621,411.934647476,813.794271391,30.4622556443,1.33024680896,61.388908771,120.672480885,9.0291345222,24,11.1051273159,765.564117282,204.12620696,186.343359947,106.359912432,227.726163219,402.430173642,130.219213215,227.726163219,0.975663596942,427.324919718,229.130407417,84.0536301024,587.913957135,71.3335149973,87.728029681,63.7117722386,11.1051273159,888.021160964,22.0344888163
1976,0,,,,,,,,,,,,,,,,,,,,,18,84.6743890049,21.6120070156,71.0576538302,778.781445456,450.576057404,26.0849844819,205.103386601,85.18480943,26.0849844819,3.80574792668,149.074741391,202.431829767,296.960471856,63.6634807541,60.6650576423,71.8698614381,0.0362387941,84.6743890049,3.98003435714,0.6809830229
1975,0,,,,,,,,,,,,,,,,,,,,,22,127.040503185,12.7567296517,0.82910613085,770.548213216,438.263622889,142.167183638,5.20756455338,234.0440891,142.167183638,0.0362387941,30.1746105252,1.28210567258,540.498740857,54.01071095,12.9684544274,4.71326010017,0.0362387941,127.040503185,46.8916443388,1.1844358728
1996,27,149.096035125,590.30254292,1.74723546624,89.6187477957,443.279208065,15.3830743591,97.2835115894,13.8373587677,15.3830743591,160.058008751,294.951472612,511.282132413,94.1650038905,220.256594001,1125.68759565,38.4367006371,0.0362387941,149.096035125,24.0367280326,99.1208108588,32,43.393827664,667.555122646,0.446196722306,93.415971364,219.299853679,213.813061544,254.086495712,259.634676848,213.813061544,2.70743662253,354.309244684,269.704672571,114.446831647,144.432931461,335.162930002,41.0461627989,0.658502758641,43.393827664,1002.27861628,28.0628516664
1973,0,,,,,,,,,,,,,,,,,,,,,21,5.33271927489,6.6494682014,4.00392718058,1354.49961238,272.960550534,7.08217363464,9.52411074925,135.055612996,7.08217363464,0.0362387941,171.713950993,30.4122431683,420.879677107,83.6486272268,118.541327836,12.1195124006,1.4008484115,5.33271927489,61.2125828225,9.52241354612
2002,27,64.5827344237,353.291931633,135.521223702,92.0946918627,410.522013551,0.263616555422,2.31281540812,25.7575541743,0.263616555422,937.554352699,7.14667806291,784.137637639,35.0335468242,556.224868597,637.085440951,742.847106514,0.0362387941,64.5827344237,7.51323206406,50.6934821873,29,9.50796080778,290.218890223,299.018146193,42.1689443012,185.39678424,214.657630228,465.276526519,118.298864361,214.657630228,287.973942424,208.413993604,382.09053173,272.730382534,338.775026116,29.0849467185,507.330435895,13.5277309052,9.50796080778,458.15864065,75.3436004985
1977,0,,,,,,,,,,,,,,,,,,,,,24,7.13811470008,10.6417020939,3.3480250976,738.349805982,384.880085428,84.9384932194,9.01264771688,325.809738861,84.9384932194,9.13193626255,265.162352623,38.5867153142,741.709261819,1.89753069166,98.6648390505,127.749146232,19.9230474374,7.13811470008,53.1697230334,3.57666906569
2000,29,19.141847711,120.710577911,87.0788546256,17.3575309367,456.378296068,0.0362387941,75.2495826702,2.97216850258,0.0362387941,264.817964482,136.284937878,545.075541464,6.30602072732,178.066254628,720.545316371,102.178994273,6.59333107288,19.141847711,10.6836331528,28.5178739711,30,4.63428040409,555.936574838,371.588986122,157.304499471,420.177846602,177.121083642,100.243256719,344.94721182,177.121083642,125.155194183,469.620238939,113.687488816,395.75017712,301.819945515,15.3145127946,120.788910728,7.39243931694,4.63428040409,504.896166521,66.3239316179
2001,29,91.409887801,479.337994586,64.0294155039,53.4007337883,160.224734501,8.92922842472,20.2692860019,27.1155029726,8.92922842472,784.209044254,54.6144004923,1113.03068838,198.859479799,293.366254386,367.06084716,332.972929318,1.81963688384,91.409887801,42.2211793723,191.893726377,25,1.45288125949,375.437691689,109.620534393,15.6294547656,50.6971577802,256.905421705,42.0963542998,194.27265167,256.905421705,39.7381211826,124.461774443,209.913253999,198.388812201,585.122416965,9.7581216526,124.157087376,803.492084717,1.45288125949,291.25814344,186.364509378
2006,35,175.354328256,342.881148073,74.8837803321,187.768273757,254.680030562,12.1978949907,224.964072677,32.2857431778,12.1978949907,1677.08547142,99.7283076625,857.094370732,91.0442812994,327.635668954,525.570829453,239.41655884,0.0362387941,175.354328256,1.0473507001,155.669631526,35,126.887154575,575.428552239,532.865455985,53.7477294483,71.3934424791,67.8305226878,222.537096085,282.593758968,67.8305226878,137.1334132,183.801452951,158.191342988,281.55061793,936.813707702,66.1144221412,411.246113873,6.36347124121,126.887154575,445.451242138,249.543316274
2007,44,194.262765508,313.92937304,279.135945309,24.9466160902,184.200409297,4.86595427152,158.545193318,123.532374846,4.86595427152,1082.56061813,54.555617058,578.018811624,113.973947719,164.81965966,267.094964244,812.727440927,0.0362387941,194.262765508,49.8501575854,519.903605041,38,54.8377152887,399.887874815,220.734530456,14.9757061396,148.163941661,160.826905256,192.148535068,251.989462063,160.826905256,230.590916914,187.523018317,109.907339894,99.9347435259,488.995195577,9.17956636592,721.948809161,15.6922502212,54.8377152887,358.993283174,151.546150913
2004,25,199.082083364,60.7262586056,258.574338247,38.1942408919,427.356292947,2.6166736407,1.39641645697,12.3816350968,2.6166736407,541.087600984,153.784197441,982.565350147,85.711342042,446.423210967,632.069109971,654.936591839,0.0362387941,199.082083364,11.9360089344,96.0684285086,28,83.9629704708,309.748245819,337.105062154,150.026880435,49.0176397421,130.876308149,170.649237254,265.19195188,130.876308149,213.954527916,403.236494896,18.9356415542,294.965031514,396.600992752,21.9005646987,516.056254738,0.0362387941,83.9629704708,829.407562755,92.4281774529
1998,30,69.4859361158,564.899327922,0.0362387941,1.97339449611,775.960708248,11.0228107051,59.8840808201,0.63087906524,11.0228107051,423.915314398,94.3054263742,1044.53705708,86.9467261328,121.436425616,613.471264618,52.9457937469,5.70429697586,69.4859361158,35.9179788836,91.7090357406,31,18.9336827048,681.570636513,194.216509212,183.355550015,434.358038141,43.333388925,148.671863482,32.6949514344,43.333388925,17.8174527396,395.353370377,512.255062232,120.532115489,404.418329092,51.097722105,32.0837722866,26.8460014337,18.9336827048,832.650675669,43.8814856279
2008,33,315.224609055,156.008545735,238.298908343,39.210348391,181.368983128,19.5479334383,2.4647688039,39.9700312236,19.5479334383,1192.95910741,99.174787453,458.026843591,121.695100823,379.741552201,277.502458335,1101.44890964,0.0362387941,315.224609055,30.5599985221,304.440381227,37,147.16927309,174.514643176,268.55996453,29.9725616305,122.961346528,112.617388003,667.845883923,256.839897819,112.617388003,39.790227846,88.6226665193,186.253419865,252.734472233,579.64637003,35.5078173221,819.959232426,0.0362387941,147.16927309,680.722806804,265.886606951
2009,40,172.940283515,213.334387478,512.193379842,152.074760664,148.705954782,2.82583138362,123.206526008,16.8513238442,2.82583138362,1591.85267283,4.88827429069,436.010491831,42.2125324717,461.989305033,109.843071437,1038.72188107,0.0362387941,172.940283515,104.341868064,285.004877649,38,375.406339582,140.868870884,79.7065248449,11.6320816704,166.006396493,116.700601143,755.604640385,402.742468828,116.700601143,208.400424001,122.470218475,205.229323116,178.896655475,373.938302431,55.0466899829,866.428222611,0.0362387941,375.406339582,386.957470996,145.572681232
