Year,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
1973,22,92.2026018785,212.308500743,3.22702108332,45.7778851218,212.308500743,212.308500743,212.308500743,378.16439994,15.7723567413,919.376899381
2002,30,515.008836398,18.502833048,769.031504669,1056.79996433,18.502833048,18.502833048,18.502833048,80.6512015037,205.827910114,371.709266394
1999,25,810.810806966,116.51819068,106.2348918,1538.01177922,116.51819068,116.51819068,116.51819068,534.936438375,226.282073589,722.864596272
2000,31,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
2001,26,614.968076302,84.0840172888,326.414412721,1042.33676993,84.0840172888,84.0840172888,84.0840172888,221.886791508,478.836006683,347.756761099
2006,36,1151.39528485,10.048353847,1462.13858513,1303.03347456,10.048353847,10.048353847,10.048353847,245.118799818,961.314285387,199.546170469
2007,39,676.817155319,57.0723984796,1486.24335691,766.901651727,57.0723984796,57.0723984796,57.0723984796,341.365982969,503.828443447,202.511780036
2004,29,744.825487536,0.0573349070966,1536.30507148,1551.25622911,0.0573349070966,0.0573349070966,0.0573349070966,339.211756748,665.606638618,99.7939982285
1998,32,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938,0.0573348938
2008,38,824.968215326,18.6054745786,1483.68956175,1186.6844033,18.6054745786,18.6054745786,18.6054745786,198.786104285,858.678483517,303.318366652
2009,39,926.834477914,31.8105921188,2106.75166695,673.116268271,31.8105921188,31.8105921188,31.8105921188,176.007608294,908.64109806,395.287553277
