Paper,Type,Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,cite,tr-95-26-2-gamma.dat,193.0817066965,155.3642355230,212.0645126892,81.2343551505,17.9529312455,237.4871024638,101.9854978736,276.6642455973,14.8046359861,226.0560769339,35.6384688139,21.2001082443,324.4909589212,490.8270769472,141.7142062514,125.4473530844,115.3767698226,164.3714433732,150.0124893806,200.8568793436
1,cite,transact06-gamma.dat,25.3433789168,3.3458680235,55.7664626104,63.3933330334,141.9658116206,45.2902301143,35.0636129443,11.6701378517,368.0258205994,329.3469387300,0.0315527171,91.4576647496,179.5674759924,1046.7391439224,15.5791184728,49.4466848717,25.1423118323,38.2736392030,82.0761421200,31.1057260163
2,paper,pcc_popl97-gamma.dat,5.7817012363,2.2324531270,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,8.6984341878,0.0315527171,0.0315527171,12.4136223173,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171
2,cite,00006898-gamma.dat,291.2202055814,23.3388063420,27.3795385480,565.0985472871,127.5657476831,393.8245887108,78.7347960540,108.2932252103,392.8157287178,252.9366968552,386.8788819427,105.9739976490,446.7843734460,630.9826705611,50.2967317021,381.8356834307,84.9728934530,180.5503539127,13.7499223955,145.3976648593
2,cite,Elf-Pfenning-gamma.dat,71.5834146034,64.8225044478,123.2142496534,10.2064633636,102.6681388653,59.0327035438,7.4690970647,9.6218072899,29.6565864328,939.5792508442,52.5477593874,38.4145835173,234.4420805550,375.9890125354,31.0687786470,529.0436583212,8.3896420432,77.8600690959,44.1864222904,123.8348318400
2,cite,FloydMeaning-gamma.dat,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171
2,cite,LF-JACM1993-gamma.dat,108.9457276917,33.7481737051,292.6270115829,49.0245047618,485.8279276834,64.1429423518,20.0958011570,13.6800078752,201.1722731023,2510.0127686160,93.6742011601,55.1387827109,612.0215272339,701.0425389100,80.0070544576,1892.8251696447,165.1735572906,80.5594129214,63.7878351574,183.1238363278
2,cite,SPIN-gamma.dat,310.0080009243,1077.8187451243,59.5274563724,275.0426956672,284.5489620741,66.9911187527,531.4626487479,444.8438638110,99.7220850156,105.9275961465,344.4115581321,146.6463213150,366.4514493173,1039.1717355471,723.6142006116,154.6497051726,389.9369730076,336.2456268104,85.6299804528,114.9803313393
2,cite,TIL-pldi96-gamma.dat,16.1135053444,0.0315527171,0.0315527171,13.5257715506,0.0315527171,1.7951873318,5.4765288006,1.7268728577,0.0315527171,21.5404061492,0.0315527171,0.0315527171,0.0315527171,0.0315527171,3.0748672683,0.0315527171,0.0315527171,0.0315527171,4.9992824341,0.0315527171
2,cite,boyer-yu-proofs-of-microprocessor-gamma.dat,598.7501747235,128.4492454267,70.2772864232,329.1213788408,236.1460371607,115.4377312921,125.5493504739,52.3300881398,210.4621591415,155.9567818228,642.5163588632,158.9180172437,456.2305191640,645.1665706140,74.1420695530,645.7752529379,171.0690993461,121.3458158112,34.5001393085,206.4869780553
2,cite,mccanne-packet-filter-gamma.dat,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171,0.0315527171
2,cite,necula-osdi-pcc-gamma.dat,14.7381858250,2.2557279901,0.0315527171,1.2303485049,0.0315527171,0.0315527171,1.3768629470,0.0315527171,0.0315527171,4.3864718168,17.0531063217,3.8240481061,6.2555964074,3.2713036746,12.0633891919,0.0315527171,2.8951091787,0.0315527171,7.1093626059,10.9506727520
2,cite,packet-filter-mogul-gamma.dat,400.6485588422,479.0434977376,0.0315527171,159.1207433006,135.2409614189,43.3921127238,255.5456967350,59.7336059717,72.3834055683,15.5322869377,270.2081308755,403.2269776688,257.1978806335,509.5315859592,899.5926548105,17.9651369971,537.1705856195,38.6229543006,65.2096576514,127.2330678730
2,cite,sml90-defn-gamma.dat,398.8430744949,50.0127889867,1215.5716735424,49.4706797520,705.7564527999,446.6089640897,159.4880744408,489.2200356792,197.4605800266,3611.6251761288,57.8361609344,355.7537394026,1536.4597544216,1299.1814388341,229.6355712317,596.8722232359,271.7156278461,965.4760024504,39.2030369183,665.4399991260
2,cite,software-fault-isolation-gamma.dat,478.5368684139,379.3959056862,8.4310208243,844.8362547119,75.1598194151,54.0398521388,442.6480447487,340.4093922466,89.8302075430,35.2681229824,110.9376149631,173.4227522534,242.9457299368,828.2809515175,126.3338202049,10.6469823502,154.2484622177,122.3150081904,197.4937651336,240.4504788631
2,cite,uniform-proofs-gamma.dat,192.3530675744,11.4058707639,317.7838377055,32.4002150324,192.9578668709,30.8057310009,50.9708610450,6.8363434395,179.9260916086,820.9104529239,64.3700003429,34.9794020404,564.7678060423,722.3824759542,82.3775700601,2434.5633627087,54.4993622887,257.8711033918,39.0192232451,139.4504103028
2,cite,web-navigator-rouaix-gamma.dat,224.0331108030,39.2445533863,8.9596776236,5.7458160123,40.9167969687,19.0412074352,21.3109701790,314.0183093202,32.2312104996,209.4217825614,64.3649500666,27.6305172802,114.7678583544,200.5134384589,433.9577082536,27.4727099897,32.6083641785,110.0395606117,23.3970168361,62.9554955228
3,paper,final-gamma.dat,77.7755180759,33.0859602961,168.0227878719,82.3287477410,195.2611723806,247.0754578303,39.3252535404,357.1926522982,64.0841466998,1912.5978527094,171.6157583238,56.9613282222,430.6803807887,565.1147243790,55.9221878683,507.2818327841,46.6115700969,46.3200448803,7.7552096832,145.6184678716
3,cite,1410.2813v1-gamma.dat,81.9220677283,69.9938757704,359.5480891013,224.9477677763,648.8237857006,369.1697656136,151.1765196952,508.2141112324,472.3220594808,4303.8683149514,189.0206616264,306.2187969271,1100.8037188880,1249.3518043764,62.3305749611,1341.9758358971,71.2980392645,103.5328691114,13.4398422117,444.6725540278
3,cite,KoukoutosKuncak14CheckingDataStructurePropertiesOrdersMagnitudeFaster-gamma.dat,44.4325117874,16.6035579919,171.5232466516,54.7014650781,32.4496707575,63.9570218895,57.4650926674,65.5530989744,85.5853770816,28.2058866489,76.3043615473,72.2862019493,61.3261367583,151.3365147941,4.9223247097,83.2259162292,23.1835837266,2.2645859177,7.7339225250,7.5705766563
3,cite,biermangordon-gamma.dat,84.3930540534,14.5705860916,157.3362708804,62.8999984031,218.4381971794,269.1858159185,85.0749573744,15.6463346772,147.7090917876,2002.2838428277,208.2123277284,167.4326501521,311.8318446129,586.5250478675,54.1786367482,806.4973739534,10.7142799411,199.1817055747,68.7013041802,114.8177343898
3,cite,cmm-gamma.dat,89.9889582336,40.1967355336,95.9536546667,4.6582572282,362.4772798667,143.5275339515,13.6358499402,443.2730105260,38.8872049199,2082.3943995880,109.9463949099,81.4366190753,255.0546068765,521.1783274948,51.1486421286,228.4336915244,59.6643489117,28.4003787259,6.7089381957,117.6662220446
3,cite,dls06-tf-gamma.dat,180.9943687131,11.5271012355,48.0641209298,86.2406430493,175.0403466277,30.0235751060,12.2458107270,831.1206559461,93.0110528783,1479.0781210614,24.9589175091,136.8460991152,243.5050090188,404.7043625106,96.6844383456,131.5869435651,72.2323106649,241.2937675898,37.0974543053,233.3759554433
