Paper,Type,Name,Distance
1,random5,Anefficientapproachtodataflowanalysisinamultiplepassglobaloptimizer-S.Jain,2292.1265727
1,random5,Precisetypingofabstractdatatypespecifications-RichardB.Kieburtz,2652.74598197
2,random1,Optimalderivationsinweaklambda-calculiandinorthogonaltermrewritingsystems-LucMaranget,3752.07253293
2,random1,Incrementalanalysisofrealprogramminglanguages-TimA.Wagner,4081.91184212
2,random1,Constantpropagationwithconditionalbranches-MarkN.Wegman,3527.28146307
2,random1,Optimizingparallelprogramswithexplicitsynchronization-ArvindKrishnamurthy,2218.86793606
2,random1,Alphonse:incrementalcomputationasaprogrammingabstraction-RogerHoover,2351.33285424
2,random1,Constraining-unificationandtheprogramminglanguageunicorn-RobertG.Bandes,1197.99790965
2,random1,Real-timeconcurrentcollectiononstockmultiprocessors-A.W.Appel,3310.65197021
2,random1,Adynamicextentcontroloperatorforpartialcontinuations-ChristianQueinnec,2730.74826491
2,random1,Synchronizationtransformationsforparallelcomputing-PedroDiniz,16.3093077061
2,random1,LUSTRE:adeclarativelanguageforreal-timeprogramming-P.Caspi,1519.4164103
2,random1,Staticdetectionofdynamicmemoryerrors-DavidEvans,2859.75142608
2,random1,Syntacticcontrolofinterference-JohnC.Reynolds,1159.81055922
2,random1,Lockallocation-MichaelEmmi,1825.76759529
2,random1,Effectiveautomaticparallelizationofstencilcomputations-SriramKrishnamoorthy,3499.78451377
2,random1,Separationlogic,3655.0308154
2,random2,Theinsandoutsofgradualtypeinference-AseemRastogi,3659.1853871
2,random2,Synthesisofbiologicalmodelsfrommutationexperiments-AliSinanKoksal,4605.29938227
2,random2,Multivariateamortizedresourceanalysis-JanHoffmann,3779.07148482
2,random2,C:alanguageforhigh-level,4606.24394861
2,random2,AnanalysisofthedynamicbehaviorofJavaScriptprograms-GregorRichards,3163.75119612
2,random2,Cache-consciousstructuredefinition-TrishulM.Chilimbi,3030.75975277
2,random2,Fastcondensationoftheprogramdependencegraph-NickP.Johnson,2433.62800015
2,random2,Specifyingthecorrectnessofbinding-timeanalysis-MitchellWand,2037.56885113
2,random2,Reasoningaboutcontinuationswithcontroleffects-P.Jouvelot,1553.68534995
2,random2,Polymorphicregulartreetypesandpatterns-JérômeVouillon,2752.11974731
2,random2,Secureinformationflowinamulti-threadedimperativelanguage-GeoffreySmith,1970.53316655
2,random2,Adebateonlanguageandtoolsupportfordesignpatterns-CraigChambers,4306.31923086
2,random2,Theramificationsofsharingindatastructures-AquinasHobor,4606.1995392
2,random2,Destructors,2296.23641161
2,random2,CCuredintherealworld-JeremyCondit,4053.54385808
2,random3,TheExoVMsystemforautomaticVMandapplicationreduction-BenL.Titzer,3017.98709872
2,random3,Quantitativeabstractionrefinement-PavolCerny,5827.19818407
2,random3,Theprogramstructuretree:computingcontrolregionsinlineartime-RichardJohnson,4478.81322122
2,random3,Aggressiveinlining-AndrewAyers,2430.38235517
2,random3,Self-RepresentationinGirard'sSystemU-MattBrown,5306.0097718
2,random3,AGPGPUcompilerformemoryoptimizationandparallelismmanagement-YiYang,3741.20665263
2,random3,Incrementalcompilationofoptimizedcode-LoriL.Pollock,4010.53586017
2,random3,AgenerictypesystemforthePi-calculus-AtsushiIgarashi,2509.56678342
2,random3,RollingyourownmutableADT—aconnectionbetweenlineartypesandmonads-Chih-PingChen,16.3093077061
2,random3,LiteRace:effectivesamplingforlightweightdata-racedetection-DanielMarino,3509.77645071
2,random3,P:safeasynchronousevent-drivenprogramming-AnkushDesai,2603.41345039
2,random3,Automata-drivenindexingofPrologclauses-R.Ramesh,2120.05757782
2,random3,VerifyingGPUkernelsbytestamplification-AlanLeung,2640.681652
2,random3,Algebraicreasoningandcompletenessintypedlanguages-JonG.Riecke,2157.59313615
2,random3,Structuringtheverificationofheap-manipulatingprograms-AleksandarNanevski,4802.2886172
2,random4,Preciseinterproceduralanalysisusingrandominterpretation-SumitGulwani,3598.00724773
2,random4,Bisimilarityforafirst-ordercalculusofobjectswithsubtyping-AndrewD.Gordon,2816.23090638
2,random4,Automatedatomicity-violationfixing-GuoliangJin,4739.54283753
